MENUID	MENUNAME			ICON		URL													PID
0		系统菜单			icon-sys	-													-1
100		基础数据			icon-sys	-													0
101		商品类型			icon-sys	goodstype.html										100
102		商品				icon-sys	goods.html											100
103		供应商				icon-sys	supplier.html?type=1								100
104		客户				icon-sys	supplier.html?type=2								100
105		仓库				icon-sys	store.html											100
200		人事管理			icon-sys	-													0
201		部门				icon-sys	dep.html											200
202		员工				icon-sys	emp.html											200
300		采购管理			icon-sys	-													0
301		采购订单查询		icon-sys	orders.html?operation=order&type=1					300
302		采购申请			icon-sys	orders.html?operation=myorders&type=1				300
303		采购审核			icon-sys	orders.html?operation=check&type=1					300
304		采购确认			icon-sys	orders.html?operation=start&type=1					300
305		采购入库			icon-sys	orders.html?operation=instore&type=1				300
400		销售管理			icon-sys	-													0
401		销售订单查询		icon-sys	orders.html?operation=order&type=2					400
402		销售订单录入		icon-sys	orders.html?operation=myorders&type=2				400
403		销售订单出库		icon-sys	orders.html?operation=outstore&type=2				400
500		库存管理			icon-sys	-													0
501		库存查询			icon-sys	storedetail.html									500
502		库存变动记录		icon-sys	storeoper.html										500
503		库存预警			icon-sys	storealert.html										500
504		盘盈盘亏查询		icon-sys	inventory.html										500
505		盘盈盘亏审核		icon-sys	inventory2.html										500
506		盘盈盘亏登记		icon-sys	addinventory.html									500
600		统计分析			icon-sys	-													0
601		销售统计表			icon-sys	report_order.html									600
602		销售趋势分析		icon-sys	trend_order.html									600
603		销售退货统计表		icon-sys	report_return.html									600
604		销售退趋势分析		"icon-sys"		trend_return.html								600
700		权限管理			icon-sys	-													0
701		重置密码			icon-sys	pwd.html											700
702		角色设置			icon-sys	role.html											700
703		角色权限设置		icon-sys	roleMenuSet.html									700
704		用户角色设置		icon-sys	empRoleSet.html										700
800		采购退货管理		icon-sys	-													0
801		退货订单申请		icon-sys	orders.html?operation=returnOrder&type=1			800

802		退货订单审核		icon-sys	returnorders_1.html?operation=check&type=1			800
803		退货订单出库		icon-sys	returnorders_1.html?operation=outStore&type=1		800
804		退货订单查询		icon-sys	returnorders_1.html?operation=returnorders&type=1	800
900		销售退货管理		icon-sys	-													0
901		退货订单申请		icon-sys	returnorders.html?operation=returnOrder&type=2		900
902		销售退货订单查询	icon-sys	returnorderlistpage.html							900
903		销售订单退货审核	icon-sys	returnordercheck.html?operation=check&type=2		900
904		销售退货订单入库	icon-sys	returnordercheck.html?operation=doInstore&type=2	900
